trioTake;trio;take;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC
603;6;3;12.6921995464853;6.53619047619048;27.34589569161;174.805759637188;171.810566893424;174.167210884354;6.53619047619048;174.805759637188;0;1.21124716553287;168.269569160998;0;0;179.25498866;185.80498866;172.88498866;3;174.805759637188;0.577350269189626;0;6;5;6
703;7;3;0.547800453514739;17;34.742;224.030884353741;223.427256235828;216.054013605442;0.547800453514739;224.030884353741;0;2.86016628873772;223.483083900227;0;0;169.42498866;147.88498866;-1;2;224.030884353741;1.15470053837925;0;2;2;4
803;8;3;8;18.0789569160998;12;192.125396825397;192.032607709751;192.496553287982;8;192.496553287982;0;0.278367346938779;184.496553287982;0;0;122.01498866;196.26498866;-1;2;192.496553287982;2.64575131106459;0;7;3;2
903;9;3;8.48775510204082;11.3991383219955;16.0346031746032;150.395238095238;150.627709750567;151.068707482993;8.48775510204082;151.068707482993;0;0.371489040060472;142.580952380952;0;0;118.05498866;-1;-1;1;151.068707482993;0.577350269189626;0;5;5;6
1003;10;3;9;16.6422222222222;5;395.197868480726;396.289387755102;395.499183673469;5;396.289387755102;0;0.627241118669701;391.289387755102;0;0;304.14498866;394.15498866;293.21498866;3;396.289387755102;1.52752523165195;0;7;4;5
1103;11;3;11.6296145124717;13.7767346938776;9.65510204081633;262.412653061224;225.365850340136;250.872879818594;9.65510204081633;262.412653061224;0;16.1955253212396;252.757551020408;0;0;-1;170.18498866;-1;1;262.412653061224;1.52752523165195;0;4;5;7
1203;12;3;18.6007709750567;6.68684807256236;5.05655328798186;192.563401360544;193.492290249433;194.027074829932;5.05655328798186;194.027074829932;0;0.666152683295536;188.97052154195;0;0;-1;-1;199.97498866;1;194.027074829932;0.577350269189626;0;6;7;6
104;1;4;5.34290249433107;6.62798185941043;11.3113378684807;226.340634920635;228.082675736961;228.627437641723;5.34290249433107;228.627437641723;0;0.943854875283449;223.284535147392;0;0;172.64498866;216.95498866;218.17498866;3;228.627437641723;1;0;5;4;3
204;2;4;19.6314285714286;4.68340136054422;7.59079365079365;283.880861678005;284.298911564626;275.036961451247;4.68340136054422;284.298911564626;0;3.22666666666665;279.615510204082;0;0;271.32498866;273.26498866;284.19498866;3;284.298911564626;1.15470053837925;0;2;2;4
304;3;4;19.6783219954649;15.048843537415;2.58417233560091;251.828707482993;246.906893424036;251.991337868481;2.58417233560091;251.991337868481;0;1.74902494331065;249.40716553288;0;0;-1;178.00498866;228.95498866;2;251.991337868481;0.577350269189626;0;7;6;6
404;4;4;3.06907029478458;4.32721088435374;4.90090702947846;319.731383219955;294.331111111111;326.790340136054;3.06907029478458;326.790340136054;0;13.1727286470143;323.72126984127;0;0;308.07498866;293.20498866;298.93498866;3;326.790340136054;1.52752523165195;0;6;3;5
504;5;4;0.799229024943311;35.064;0.0249886621315193;247.596326530612;241.233786848073;237.959229024943;0.0249886621315193;247.596326530612;0;5.33321239606953;247.571337868481;0;0;-1;234.95498866;-1;1;247.596326530612;2.08166599946613;0;3;7;6
604;6;4;2.05537414965986;4.09174603174603;3.00222222222222;152.132290249433;146.374376417234;154.547800453515;2.05537414965986;154.547800453515;0;3.52964474678762;152.492426303855;0;0;135.39498866;135.96498866;149.28498866;3;154.547800453515;0.577350269189626;0;4;5;5
704;7;4;11.7792743764172;4.80013605442177;4.64049886621315;119.668072562358;120.689750566893;120.596961451247;4.64049886621315;120.689750566893;0;0.371489040060467;116.04925170068;0;0;-1;-1;-1;0;120.689750566893;0.577350269189626;0;7;6;6
804;8;4;10.8184580498866;12.2182766439909;19.9826303854875;162.49074829932;156.221995464853;162.850929705215;10.8184580498866;162.850929705215;0;2.32970521541949;152.032471655329;0;0;159.28498866;165.03498866;162.90498866;3;162.850929705215;1.73205080756888;0;5;5;2
904;9;4;2;4.08176870748299;18;163.668072562358;166.710158730159;159.465623582766;2;166.710158730159;0;3.42887377173092;164.710158730159;0;0;125.90498866;-1;-1;1;166.710158730159;1.52752523165195;0;5;4;2
1004;10;4;15.8779591836735;13.2050340136054;9.1043537414966;347.61201814059;349.191428571429;350.468526077098;9.1043537414966;350.468526077098;0;1.37786848072564;341.364172335601;0;0;201.33498866;299.10498866;274.03498866;3;350.468526077098;0.577350269189626;0;5;4;5
1104;11;4;22;10.14;10.0701587301587;268.928843537415;273.834693877551;276.417823129252;10.0701587301587;276.417823129252;0;3.35736961451245;266.347664399093;0;0;266.23498866;269.94498866;-1;2;276.417823129252;0.577350269189626;0;5;6;5
1204;12;4;4.058820861678;16.8946485260771;17.4134693877551;233.132199546485;215.287755102041;234.106984126984;4.058820861678;234.106984126984;0;6.59800453514739;230.048163265306;0;0;173.36498866;196.22498866;-1;2;234.106984126984;2.3094010767585;0;6;2;6
105;1;5;5.72802721088435;7.36231292517007;27.4396825396825;163.216099773243;162.891836734694;167.08231292517;5.72802721088435;167.08231292517;143.194988662132;2.68556311413455;161.354285714286;1;1;0;0;0;3;23.8873242630386;0.577350269189626;4.33333333333333;5;5;6
205;2;5;13.0124716553288;11.3462585034014;15.0139229024943;157.98798185941;180.023900226757;171.479319727891;11.3462585034014;180.023900226757;152.664988662132;10.1934996220711;168.677641723356;1;3;0;0;0;3;27.3589115646259;0.577350269189626;4.33333333333333;5;5;4
